TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1507315908,"North Station","323","Lowell",1507316400,0,,"On Time"
1507315908,"North Station","211","Haverhill",1507317300,0,,"On Time"
1507315908,"North Station","165","Newburyport",1507317300,0,,"On Time"
1507315908,"North Station","415","Wachusett",1507318200,0,,"On Time"
1507315908,"North Station","113","Rockport",1507318500,0,,"On Time"
1507315908,"North Station","325","Lowell",1507318800,0,,"On Time"
1507315908,"North Station","291","Reading",1507319400,0,,"On Time"
1507315908,"North Station","493","Littleton / Rte 495",1507319940,0,,"On Time"
1507315908,"North Station","327","Lowell",1507320900,0,,"On Time"
1507315908,"North Station","115","Rockport",1507320900,0,,"On Time"
1507315908,"North Station","213","Haverhill",1507321800,0,,"On Time"
1507315908,"North Station","417","Wachusett",1507321800,0,,"On Time"
1507315908,"North Station","167","Newburyport",1507321800,0,,"On Time"
1507315908,"North Station","193","Beverly",1507322400,0,,"On Time"
1507315908,"North Station","329","Lowell",1507322700,0,,"On Time"
1507315908,"North Station","293","Reading",1507322880,0,,"On Time"
1507315908,"South Station","613","Needham Heights",1507316400,0,"3","Now Boarding"
1507315908,"South Station","817","Wickford Junction",1507317900,0,,"On Time"
1507315908,"South Station","517","Worcester / Union Station",1507318200,0,,"On Time"
1507315908,"South Station","771","Readville",1507318200,0,,"On Time"
1507315908,"South Station","913","Stoughton",1507318500,0,,"On Time"
1507315908,"South Station","017","Middleboro/Lakeville",1507318980,0,,"On Time"
1507315908,"South Station","715","Forge Park / 495",1507319280,0,,"On Time"
1507315908,"South Station","819","Providence",1507319700,0,,"On Time"
1507315908,"South Station","081","Greenbush",1507320120,0,,"On Time"
1507315908,"South Station","615","Needham Heights",1507320300,0,,"On Time"
1507315908,"South Station","773","Readville",1507320900,0,,"On Time"
1507315908,"South Station","743","Norwood Central",1507320900,0,,"On Time"
1507315908,"South Station","043","Kingston",1507321200,0,,"On Time"
1507315908,"South Station","915","Stoughton",1507321200,0,,"On Time"
1507315908,"South Station","519","Worcester / Union Station",1507321200,0,,"On Time"
1507315908,"South Station","591","Framingham",1507321800,0,,"On Time"
1507315908,"South Station","821","Wickford Junction",1507321800,0,,"On Time"
1507315908,"South Station","019","Middleboro/Lakeville",1507322400,0,,"On Time"
1507315908,"South Station","717","Forge Park / 495",1507322580,0,,"On Time"
1507315908,"South Station","617","Needham Heights",1507322820,0,,"On Time"
1507315908,"South Station","083","Greenbush",1507323120,0,,"On Time"
